"","spp","sp_code","Division","Family","Genus","Consv_stat","Native_stat","Coastal","Ha_pres","Ma_pres","Ka_pres","Oa_pres","Mo_pres","La_pres","Ke_pres","Ni_pres","Cover_D","Cover_1","Cover_2","Cover_3","CCE_Area","Vulnerability","Tolerate","Migrate","Micro_refugia","Eff_Mrf_A","Eff_Tol_A","Eff_Mig_A","Habqual_Mrg","Habqual_Tol","Habqual_Mig","Dispersion","Quality_avg","Area_avg","nonNat_comp","Pioneer","Winkout","Overlap_sp","Dist_Ces","p_tol_pts","n_fce_bioreg","Overlap_Ces","change_CE_A","Prox_to_top","Tot_A_MR","Tot_A_TL","Tot_A_MG","new_lava_MR","new_lava_TL","new_lava_MG","Hi_mod_A_MR","Hi_mod_A_TL","Hi_mod_A_MG","SLR_A_lost in_MR","Natvcov_MR","Natvcov_TL","Natvcov_MG","prot_A_MR","prot_A_TL","prot_A_MG","Ung_A_MR","Ung_A_TL","Ung_A_MG","Inv_MR","Inv_TL","Inv_MG","Frag_MR","Frag_TL","Frag_MG","ppt_grad_MR","Slope_MR","Asp_var_MR","SlopeVar_MR"
"976","Sicyos maximowiczii",977,"Dicot","Cucurbitaceae","Sicyos","Apparently Secure","Endemic","Coastal",0,0,0,1,0,0,0,1,"na","Dry_forest","Decidious_shrubland","Perennial_grassland",154.6812,0.581045874053735,"Very_small","Very_small","Small","Small","Very_small","Very_small","Small","Very_small","Small","Very_small","Very_small","Very_small","Yes","No","No","No","Large","none","Few","Small","Large_decrease","Close","Small","Very_small","Very_small","Small","none","Small","Large","none","Medium","Large","Small","none","Small","Small","none","Small","Small","none","Small","Small","Small","Small","Large","none","Large","Low","Low","Small","Large"
"977","Sicyos pachycarpus",978,"Dicot","Cucurbitaceae","Sicyos","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,1,1,"na","Perennial_grassland","Decidious_shrubland","Dry_forest",4774.7988,0.395921022122169,"Medium","Medium","Medium","Very_large","Large","Large","Very_small","Very_small","Small","Small","Small","Very_large","Yes","No","No","Yes","Medium","none","Many","Medium","Large_decrease","Close","Very_large","Large","Large","Large","Large","Large","Large","Large","Medium","Large","Small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Large","Large","Large","Medium","Low","Low","Medium","Large"
"978","Sicyos waimanaloensis",979,"Dicot","Cucurbitaceae","Sicyos","Rare","Endemic","Non_coastal",0,0,1,1,1,0,0,0,"na","Decidious_shrubland","Dry_forest","Perennial_grassland",766.7451,0.465028720255938,"Small","Small","Medium","Large","Medium","Small","Very_small","Very_small","Very_small","Large","Very_small","Medium","No","No","No","Yes","Large","none","Many","Small","Large_decrease","Far","Large","Medium","Small","Small","Small","Small","Large","Large","Medium","Small","Small","Small","Small","Small","Small","Large","Small","Small","Small","Large","Large","Large","Large","Large","Large","Low","Medium","Large","Medium"
"979","Sida fallax",980,"Dicot","Malvaceae","Sida","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,1,1,"na","Perennial_grassland","Wet_forest","Mesic_forest",13562.8335,0.300929302798952,"Large","Large","Medium","Very_large","Very_large","Very_large","Very_small","Medium","Large","Medium","Medium","Very_large","Yes","Yes","No","Yes","Small","Medium","Many","Large","Medium_decrease","Close","Very_large","Very_large","Very_large","Large","Large","Large","Large","Medium","Small","Large","Small","Medium","Large","Small","Medium","Large","Small","Medium","Large","Large","Medium","Large","Large","Medium","Medium","Low","Low","Small","Large"
"980","Silene alexandri",981,"Dicot","Caryophyllaceae","Silene","Endangered","Endemic","Non_coastal",0,0,0,0,1,0,0,0,"na","Wet_mesic_forest","Mesic_forest","Decidious_shrubland",17.5725,0.627661838078,"Very_small","Very_small","Very_small","Very_small","Very_small","Very_small","Very_small","Very_small","Small","Small","Very_small","Very_small","No","No","No","No","Large","Small","Few","Small","Large_decrease","Far","Very_small","Very_small","Very_small","Small","none","Small","Medium","none","Small","Small","Small","none","Medium","Small","none","Small","Small","none","Large","Large","Small","Large","Large","none","Large","High","Medium","Medium","Medium"
"981","Silene hawaiiensis",982,"Dicot","Caryophyllaceae","Silene","Rare","Endemic","Non_coastal",1,0,0,0,0,0,0,0,"na","Perennial_grassland","Mesic_forest","Dry_shrubland",2626.1649,0.288931487697602,"Large","Very_large","Medium","Medium","Very_large","Very_large","Large","Medium","Large","Large","Large","Very_large","No","Yes","No","Yes","Small","Medium","Many","Large","Small_decr_or_inc","Close","Medium","Large","Very_large","Large","Large","Large","Small","Small","Small","Small","Medium","Large","Large","Large","Medium","Large","Large","Large","Large","Medium","Large","Large","Medium","Medium","Medium","Low","Low","Small","Large"
"982","Silene lanceolata",983,"Dicot","Caryophyllaceae","Silene","Endangered","Endemic","Non_coastal",1,0,1,1,1,1,0,0,"na","Dry_forest","Decidious_shrubland","Wet_mesic_forest",1111.6341,0.380500191525937,"Large","Large","Medium","Large","Large","Large","Very_small","Medium","Medium","Large","Small","Large","No","Yes","No","Yes","Medium","Large","Many","Medium","Small_decr_or_inc","Close","Large","Large","Large","Medium","Large","Large","Large","Medium","Small","Small","Small","Medium","Large","Small","Large","Large","Small","Medium","Large","Large","Large","Large","Large","Large","Large","Low","Medium","Large","Medium"
"983","Silene struthioloides",984,"Dicot","Caryophyllaceae","Silene","Apparently Secure","Endemic","Non_coastal",1,1,0,0,0,0,0,0,"Dry_shrubland","Dry_shrubland","Perennial_grassland","Dry_forest",764.5347,0.390084259107624,"Medium","Medium","Medium","Medium","Medium","Medium","Medium","Large","Medium","Medium","Medium","Medium","No","No","No","Yes","Medium","none","Many","Medium","Medium_decrease","Close","Medium","Medium","Large","Large","Large","Large","Small","Small","Small","Small","Medium","Large","Large","Medium","Large","Small","Large","Large","Large","Large","Large","Large","Small","Medium","Large","Low","Low","Medium","Medium"
"984","Sisyrinchium acre",985,"Monocot","Iridaceae","Sisyrinchium","Rare","Endemic","Non_coastal",1,1,0,0,0,0,0,0,"na","Dry_shrubland","Perennial_grassland","Mesic_forest",2567.0808,0.258494395876245,"Large","Large","Very_large","Very_large","Large","Large","Large","Large","Medium","Medium","Large","Very_large","No","No","No","Yes","Medium","none","Many","Medium","Medium_decrease","Close","Large","Large","Large","Large","Large","Large","Small","Small","Small","Small","Large","Large","Large","Medium","Large","Large","Large","Large","Large","Large","Large","Large","Small","Small","Large","Low","Low","Small","Medium"
"985","Smilax melastomifolia",986,"Monocot","Smilacaceae","Smilax","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_forest","Perennial_grassland","Mesic_forest",9310.2732,0.253510472104123,"Very_large","Large","Large","Very_large","Very_large","Large","Small","Large","Large","Very_large","Medium","Very_large","No","No","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Very_large","Medium","Large","Large","Large","Medium","Small","Small","Small","Medium","Large","Small","Medium","Large","Small","Large","Large","Small","Medium","Large","Large","Small","Medium","Medium","Medium","Medium","Medium"
"986","Solanum americanum",987,"Dicot","Solanaceae","Solanum","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,1,1,"na","Perennial_grassland","Wet_forest","Mesic_forest",13789.7811,0.324074202651589,"Large","Large","Medium","Very_large","Very_large","Large","Very_small","Medium","Medium","Medium","Medium","Very_large","Yes","No","No","Yes","Small","none","Many","Large","Medium_decrease","Close","Very_large","Very_large","Very_large","Large","Large","Large","Large","Medium","Small","Large","Small","Medium","Large","Small","Medium","Large","Small","Large","Large","Large","Medium","Large","Large","Medium","Large","Low","Low","Small","Large"
"987","Solanum incompletum",988,"Dicot","Solanaceae","Solanum","Endangered","Endemic","Non_coastal",1,1,1,0,1,1,0,0,"Perennial_grassland","Perennial_grassland","Dry_forest","Dry_shrubland",2307.9177,0.332215536342788,"Large","Very_large","Medium","Large","Large","Very_large","Very_small","Medium","Large","Large","Medium","Very_large","Yes","Yes","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Close","Large","Large","Very_large","Medium","Large","Large","Medium","Medium","Small","Small","Small","Medium","Large","Small","Medium","Large","Small","Medium","Large","Large","Large","Large","Large","Medium","Medium","Low","Low","Small","Large"
"988","Solanum nelsonii",989,"Dicot","Solanaceae","Solanum","Vulnerable","Endemic","Coastal",1,1,1,1,1,0,0,1,"na","Dry_forest","Decidious_shrubland","Perennial_grassland",245.0079,0.593990902937654,"Very_small","Very_small","Small","Small","Very_small","Very_small","Very_small","Very_small","Very_small","Small","Very_small","Very_small","Yes","No","Yes","No","Large","Small","Few","Small","Large_decrease","Far","Medium","Very_small","Very_small","Large","none","Small","Large","none","Large","Large","Small","none","Small","Small","none","Large","Small","none","Small","Large","Small","Small","Large","none","Large","Low","Low","Small","Large"
"989","Solanum sandwicense",990,"Dicot","Solanaceae","Solanum","Endangered","Endemic","Non_coastal",0,0,1,1,0,1,0,0,"na","Wet_mesic_forest","Wet_forest","Mesic_forest",414.6174,0.429999987185193,"Medium","Medium","Small","Medium","Medium","Medium","Small","Medium","Large","Small","Medium","Medium","No","No","No","Yes","Medium","Medium","Many","Medium","Large_decrease","Close","Medium","Medium","Small","Small","Small","Small","Medium","Small","Medium","Small","Small","Medium","Large","Medium","Large","Large","Small","Medium","Small","Large","Large","Small","Medium","Medium","Small","Medium","High","Large","Small"
"990","Sophora chrysophylla",991,"Dicot","Fabaceae","Sophora","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"na","Perennial_grassland","Mesic_forest","Dry_shrubland",7947.7137,0.240475565333452,"Very_large","Very_large","Large","Very_large","Very_large","Very_large","Small","Medium","Large","Very_large","Medium","Very_large","Yes","No","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Very_large","Large","Large","Large","Large","Medium","Medium","Small","Small","Medium","Large","Small","Medium","Large","Small","Large","Large","Medium","Large","Large","Large","Medium","Small","Low","Medium","Medium","Medium"
"991","Spermolepis hawaiiensis",992,"Dicot","Apiaceae","Spermolepis","Endangered","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"na","Perennial_grassland","Decidious_shrubland","Dry_forest",3589.443,0.35404854107452,"Medium","Large","Medium","Very_large","Large","Large","Very_small","Very_small","Medium","Large","Small","Very_large","No","No","No","Yes","Medium","Medium","Many","Medium","Medium_decrease","Far","Very_large","Large","Large","Large","Large","Large","Large","Large","Small","Small","Small","Small","Large","Small","Small","Large","Small","Medium","Large","Large","Large","Large","Large","Large","Medium","Low","Medium","Medium","Medium"
"992","Sphaerocionium lanceolatum",993,"Pteridophyte","Hymenophyllaceae","Sphaerocionium","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",2833.5483,0.276255248560685,"Large","Large","Large","Large","Large","Large","Medium","Very_large","Very_large","Medium","Large","Large","No","Yes","No","Yes","Small","none","Many","Large","Medium_decrease","Close","Large","Large","Large","Medium","Medium","Large","Large","Medium","Small","Small","Medium","Large","Large","Medium","Large","Large","Small","Large","Large","Small","Small","Small","Medium","Small","Small","Medium","Medium","Small","Large"
"993","Sphaerocionium obtusum",994,"Pteridophyte","Hymenophyllaceae","Sphaerocionium","Apparently Secure","Endemic","Non_coastal",1,1,0,1,1,1,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",2159.739,0.262528140446951,"Large","Very_large","Large","Large","Large","Very_large","Medium","Very_large","Very_large","Large","Large","Very_large","No","No","No","Yes","Medium","none","Many","Large","Small_decr_or_inc","Close","Large","Large","Very_large","Medium","Large","Large","Large","Medium","Small","Small","Medium","Large","Large","Medium","Large","Large","Small","Medium","Large","Small","Small","Small","Large","Small","Small","Medium","Medium","Small","Large"
"994","Sphenomeris chinensis",995,"Pteridophyte","Lindsaeaceae","Sphenomeris","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_forest","Wet_mesic_forest","Perennial_grassland",8065.3635,0.218830540916496,"Very_large","Very_large","Large","Very_large","Very_large","Very_large","Small","Large","Very_large","Very_large","Medium","Very_large","No","Yes","No","Yes","Small","Medium","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Very_large","Large","Large","Large","Large","Large","Small","Large","Small","Medium","Large","Small","Medium","Large","Small","Medium","Large","Medium","Small","Medium","Large","Small","Small","Low","Low","Small","Large"
"995","Sporobolus virginicus",996,"Monocot","Poaceae","Sporobolus","Apparently Secure","Indigenous","Coastal",1,1,1,1,1,1,1,1,"na","Dry_forest","Perennial_grassland","Decidious_shrubland",526.5171,0.528303912268089,"Very_small","Small","Small","Medium","Very_small","Small","Small","Very_small","Very_small","Small","Very_small","Small","Yes","No","No","No","Large","none","Many","Small","Large_decrease","Close","Large","Very_small","Small","Large","none","Medium","Large","none","Medium","Large","Small","none","Small","Small","none","Small","Small","none","Medium","Medium","Small","Large","Large","none","Large","Low","Low","Small","Large"
"996","Stenogyne angustifolia",997,"Dicot","Lamiaceae","Stenogyne","Endangered","Endemic","Non_coastal",1,1,0,0,1,0,0,0,"na","Perennial_grassland","Dry_shrubland","Dry_forest",2220.2496,0.332039586899898,"Large","Very_large","Medium","Medium","Large","Very_large","Small","Medium","Large","Very_large","Medium","Large","No","No","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Far","Medium","Large","Very_large","Large","Large","Large","Medium","Medium","Small","Small","Small","Small","Large","Small","Medium","Large","Small","Medium","Large","Medium","Large","Large","Large","Medium","Small","Low","Low","Small","Large"
"997","Stenogyne bifida",998,"Dicot","Lamiaceae","Stenogyne","Endangered","Endemic","Non_coastal",0,0,0,0,1,0,0,0,"na","Wet_forest","Wet_mesic_forest","Mesic_forest",84.9753,0.43015982847035,"Medium","Medium","Small","Very_small","Small","Small","Large","Large","Large","Medium","Large","Very_small","No","No","No","Yes","Medium","Medium","Few","Medium","Medium_decrease","Far","Very_small","Small","Small","Small","Small","Small","Small","Medium","Small","Small","Large","Large","Large","Medium","Large","Large","Small","Large","Large","Small","Medium","Medium","Small","Small","Small","Medium","High","Large","Small"
"998","Stenogyne calaminthoides",999,"Dicot","Lamiaceae","Stenogyne","Apparently Secure","Endemic","Non_coastal",1,0,0,0,0,0,0,0,"Wet_forest","Wet_forest","Mesic_forest","Perennial_grassland",2596.4073,0.283815034511961,"Very_large","Large","Large","Large","Large","Medium","Large","Very_large","Large","Medium","Very_large","Large","No","No","No","Yes","Medium","Large","Many","Large","Medium_decrease","Close","Large","Large","Medium","Large","Large","Large","Large","Medium","Small","Small","Medium","Large","Large","Medium","Large","Large","Small","Large","Large","Small","Small","Medium","Small","Small","Small","Low","Low","Small","Large"
"999","Stenogyne calycosa",1000,"Dicot","Lamiaceae","Stenogyne","Vulnerable","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",67.7268,0.450914154344832,"Medium","Medium","Small","Very_small","Small","Medium","Medium","Medium","Large","Medium","Medium","Small","No","No","No","Yes","Large","Small","Few","Small","Medium_decrease","Far","Very_small","Small","Medium","Small","Small","Small","Medium","Small","Small","Small","Medium","Medium","Large","Medium","Medium","Medium","Large","Large","Large","Small","Small","Small","Medium","Medium","Medium","High","High","Large","Small"
"1000","Stenogyne campanulata",1001,"Dicot","Lamiaceae","Stenogyne","Endangered","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Mesic_forest","Mesic_forest","Wet_mesic_forest","Wet_forest",38.2509,0.51686263715819,"Small","Small","Small","Very_small","Small","Small","Small","Small","Medium","Large","Small","Very_small","No","No","No","Yes","Large","none","Few","Small","Small_decr_or_inc","Far","Very_small","Small","Small","Small","Small","Small","Small","Medium","Medium","Small","Medium","Medium","Large","Large","Large","Large","Small","Small","Small","Large","Large","Large","Large","Large","Medium","Medium","High","Medium","Small"
"1001","Stenogyne cranwelliae",1002,"Dicot","Lamiaceae","Stenogyne","Endangered","Endemic","Non_coastal",1,0,0,0,0,0,0,0,"Wet_forest","Wet_forest","Perennial_grassland","Wet_mesic_forest",59.2803,0.462956773246323,"Small","Small","Medium","Very_small","Very_small","Very_small","Very_large","Large","Large","Very_small","Very_large","Very_small","No","No","No","Yes","Large","Small","Few","Small","Large_decrease","Close","Very_small","Very_small","Very_small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Large","Large","Large","Large","Large","Large","Small","Small","Small","Small","Small","Small","Medium","Low","Small","Medium"
"1002","Stenogyne haliakalae",1003,"Dicot","Lamiaceae","Stenogyne","Extinct","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"Perennial_grassland","Perennial_grassland","Wet_mesic_forest","Dry_forest",153.4716,0.502214796505556,"Small","Medium","Very_small","Very_small","Medium","Medium","Very_small","Very_small","Medium","Large","Small","Small","No","No","No","Yes","Small","none","Few","Large","Small_decr_or_inc","Far","Very_small","Medium","Medium","Medium","Medium","Medium","Large","Medium","Small","Small","Small","Small","Medium","Small","Small","Medium","Small","Medium","Large","Large","Large","Large","Large","Large","Medium","Low","Medium","Medium","Medium"
"1003","Stenogyne kaalae",1004,"Dicot","Lamiaceae","Stenogyne","Apparently Secure","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"na","Wet_forest","Evergreen_shrubland","Mesic_forest",44.9064,0.526503888753599,"Small","Small","Small","Very_small","Very_small","Very_small","Large","Medium","Medium","Very_small","Medium","Very_small","No","No","No","Yes","Large","none","Few","Small","Large_decrease","Close","Very_small","Very_small","Very_small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Medium","Medium","Medium","Large","Large","Large","Medium","Large","Large","Medium","Medium","Small","Medium","High","Large","Small"
"1004","Stenogyne kamehamehae",1005,"Dicot","Lamiaceae","Stenogyne","Apparently Secure","Endemic","Non_coastal",0,1,0,0,1,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",363.0924,0.365408248310492,"Large","Small","Large","Medium","Medium","Very_small","Large","Very_large","Large","Medium","Large","Small","No","No","No","Yes","Medium","none","Few","Medium","Medium_decrease","Far","Small","Medium","Very_small","Small","Small","Small","Medium","Small","Small","Small","Large","Large","Large","Large","Large","Large","Large","Large","Large","Small","Medium","Medium","Medium","Small","Small","High","Medium","Medium","Medium"
"1005","Stenogyne kanehoana",1006,"Dicot","Lamiaceae","Stenogyne","Endangered","Endemic","Non_coastal",0,0,0,1,0,0,0,0,"na","Evergreen_shrubland","Wet_mesic_forest","Mesic_forest",30.3408,0.529985717316537,"Small","Small","Small","Very_small","Very_small","Small","Small","Small","Medium","Small","Medium","Very_small","No","No","No","Yes","Medium","none","Few","Small","Large_decrease","Far","Very_small","Very_small","Small","Small","Small","Small","Small","Small","Small","Small","Medium","Medium","Large","Large","Medium","Medium","Large","Large","Large","Large","Large","Large","Large","Large","Medium","Low","High","Large","Small"
"1006","Stenogyne kealiae",1007,"Dicot","Lamiaceae","Stenogyne","Rare","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",211.6701,0.390902693845628,"Medium","Large","Medium","Small","Medium","Medium","Medium","Medium","Large","Large","Large","Medium","No","No","No","Yes","Medium","none","Few","Medium","Small_decr_or_inc","Far","Small","Medium","Medium","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Small","Large","Large","Medium","Medium","Large","Medium","Large","Medium","Small","Medium","Small","High","High","Large","Small"
"1007","Stenogyne macrantha",1008,"Dicot","Lamiaceae","Stenogyne","Rare","Endemic","Non_coastal",1,0,0,0,0,0,0,0,"Wet_forest","Wet_forest","Mesic_forest","Perennial_grassland",2499.4125,0.211987470213492,"Large","Very_large","Large","Large","Large","Very_large","Large","Very_large","Very_large","Very_large","Large","Very_large","No","No","No","Yes","Small","none","Many","Large","Small_decr_or_inc","Far","Large","Large","Very_large","Large","Large","Large","Medium","Medium","Small","Small","Medium","Large","Large","Medium","Large","Large","Small","Large","Large","Small","Medium","Medium","Small","Small","Small","Low","Low","Small","Medium"
"1008","Stenogyne microphylla",1009,"Dicot","Lamiaceae","Stenogyne","Apparently Secure","Endemic","Non_coastal",1,1,0,0,0,0,0,0,"na","Perennial_grassland","Dry_shrubland","Dry_forest",2521.0404,0.348319038722554,"Large","Large","Medium","Medium","Large","Large","Small","Medium","Medium","Very_large","Medium","Large","No","No","No","Yes","Small","Large","Many","Large","Small_decr_or_inc","Far","Large","Large","Large","Large","Large","Large","Small","Small","Small","Small","Small","Medium","Large","Small","Medium","Large","Medium","Large","Large","Large","Large","Large","Medium","Medium","Large","Low","Low","Small","Medium"
"1009","Stenogyne purpurea",1010,"Dicot","Lamiaceae","Stenogyne","Apparently Secure","Endemic","Non_coastal",0,0,1,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Mesic_forest",238.5801,0.405249858760449,"Medium","Medium","Medium","Small","Medium","Small","Medium","Large","Very_large","Medium","Large","Small","No","No","No","Yes","Small","none","Few","Medium","Medium_decrease","Far","Small","Medium","Small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Small","Large","Large","Medium","Medium","Large","Medium","Large","Medium","Small","Small","Small","High","High","Large","Small"
"1010","Stenogyne rotundifolia",1011,"Dicot","Lamiaceae","Stenogyne","Apparently Secure","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"Wet_forest","Wet_forest","Mesic_forest","Perennial_grassland",33.2757,0.446035595121568,"Medium","Small","Medium","Very_small","Very_small","Very_small","Very_large","Very_large","Large","Small","Very_large","Very_small","No","No","No","Yes","Large","none","Few","Small","Large_decrease","Far","Very_small","Very_small","Very_small","Small","Small","Small","Small","Small","Small","Small","Large","Large","Large","Large","Large","Large","Large","Large","Large","Small","Small","Small","Small","Small","Medium","High","Medium","Small","Small"
"1011","Stenogyne rugosa",1012,"Dicot","Lamiaceae","Stenogyne","Apparently Secure","Endemic","Non_coastal",1,1,0,0,0,0,0,0,"na","Perennial_grassland","Mesic_forest","Dry_shrubland",4615.5366,0.31853955182406,"Large","Large","Medium","Medium","Very_large","Large","Small","Medium","Large","Very_large","Medium","Large","No","No","No","Yes","Small","none","Many","Large","Small_decr_or_inc","Far","Large","Very_large","Very_large","Large","Large","Large","Large","Medium","Medium","Small","Small","Medium","Large","Small","Medium","Large","Small","Large","Large","Small","Large","Large","Large","Medium","Small","Low","Low","Medium","Medium"
"1012","Stenogyne scrophularioides",1013,"Dicot","Lamiaceae","Stenogyne","Apparently Secure","Endemic","Non_coastal",1,0,0,0,0,0,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",1770.9606,0.263516956399574,"Large","Large","Large","Large","Large","Medium","Large","Large","Very_large","Large","Large","Large","No","No","No","Yes","Medium","Small","Many","Large","Medium_decrease","Far","Large","Large","Large","Large","Large","Large","Medium","Medium","Small","Small","Large","Large","Large","Medium","Large","Large","Small","Medium","Large","Small","Medium","Small","Small","Small","Small","Low","Low","Small","Large"
"1013","Stenogyne sessilis",1014,"Dicot","Lamiaceae","Stenogyne","Apparently Secure","Endemic","Non_coastal",1,1,0,0,0,1,0,0,"na","Wet_forest","Mesic_forest","Perennial_grassland",3228.8265,0.241109903767464,"Very_large","Large","Large","Large","Very_large","Large","Large","Very_large","Very_large","Large","Large","Very_large","No","No","No","Yes","Small","none","Many","Large","Small_decr_or_inc","Close","Large","Large","Large","Medium","Large","Large","Large","Medium","Small","Small","Medium","Large","Large","Small","Large","Large","Medium","Large","Large","Small","Medium","Medium","Small","Small","Small","Low","Low","Small","Large"
"1014","Sticherus owhyhensis",1015,"Pteridophyte","Gleicheniaceae","Sticherus","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"Wet_forest","Wet_forest","Wet_mesic_forest","Perennial_grassland",1966.6683,0.282815533843028,"Large","Large","Large","Large","Large","Medium","Large","Large","Large","Medium","Large","Large","No","No","No","Yes","Medium","Medium","Many","Large","Medium_decrease","Close","Large","Large","Medium","Medium","Medium","Large","Medium","Small","Small","Small","Large","Large","Large","Medium","Large","Large","Medium","Large","Large","Small","Medium","Medium","Small","Small","Small","Medium","Medium","Small","Large"
"1015","Streblus pendulinus",1016,"Dicot","Moraceae","Streblus","Apparently Secure","Indigenous","Non_coastal",1,1,1,1,1,1,0,0,"na","Mesic_forest","Perennial_grassland","Wet_mesic_forest",2006.8605,0.336096472692031,"Medium","Very_large","Medium","Large","Large","Very_large","Small","Medium","Large","Large","Medium","Very_large","No","No","No","Yes","Medium","none","Many","Large","Small_decr_or_inc","Close","Large","Large","Very_large","Medium","Large","Large","Large","Medium","Medium","Small","Small","Medium","Large","Small","Medium","Large","Small","Medium","Large","Medium","Large","Medium","Large","Medium","Small","Medium","Medium","Medium","Medium"
"1016","Strongylodon ruber",1017,"Dicot","Fabaceae","Strongylodon","Rare","Endemic","Non_coastal",1,1,1,1,1,0,0,0,"na","Wet_forest","Wet_mesic_forest","Perennial_grassland",2099.1114,0.289083648892883,"Large","Very_large","Medium","Large","Large","Very_large","Small","Medium","Large","Very_large","Medium","Very_large","Yes","No","No","Yes","Small","Medium","Many","Large","Small_decr_or_inc","Far","Large","Large","Very_large","Small","Medium","Medium","Large","Large","Medium","Small","Small","Medium","Large","Small","Medium","Large","Small","Medium","Medium","Small","Small","Medium","Large","Medium","Small","High","Medium","Medium","Medium"
"1017","Syzygium sandwicensis",1018,"Dicot","Myrtaceae","Syzygium","Apparently Secure","Endemic","Non_coastal",0,1,1,1,1,1,0,0,"na","Wet_forest","Wet_mesic_forest","Mesic_forest",1612.2465,0.310130295272186,"Large","Very_large","Medium","Large","Large","Large","Very_small","Large","Very_large","Very_large","Medium","Large","Yes","No","No","Yes","Small","none","Many","Large","Small_decr_or_inc","Far","Large","Large","Large","Medium","Small","Small","Large","Medium","Small","Small","Small","Medium","Large","Small","Medium","Large","Small","Large","Large","Medium","Small","Medium","Large","Medium","Small","High","Medium","Medium","Medium"
"1018","Tectaria gaudichaudii",1019,"Pteridophyte","Dryopteridaceae","Tectaria","Apparently Secure","Endemic","Non_coastal",1,1,1,1,1,1,0,0,"na","Wet_forest","Wet_mesic_forest","Perennial_grassland",5100.795,0.22621105395513,"Very_large","Very_large","Large","Very_large","Very_large","Very_large","Small","Large","Very_large","Very_large","Medium","Very_large","No","No","No","Yes","Small","none","Many","Large","Small_decr_or_inc","Far","Very_large","Very_large","Very_large","Medium","Large","Medium","Large","Medium","Small","Small","Small","Medium","Large","Small","Medium","Large","Small","Medium","Large","Small","Small","Medium","Large","Medium","Small","Medium","Medium","Medium","Medium"
"1019","Tetramolopium arenarium",1020,"Dicot","Asteraceae","Tetramolopium","Endangered","Endemic","Non_coastal",1,1,0,0,0,0,0,0,"Perennial_grassland","Perennial_grassland","Dry_forest","Dry_shrubland",1202.1795,0.372362995331243,"Medium","Large","Medium","Medium","Large","Very_large","Very_small","Small","Medium","Very_large","Small","Large","No","No","No","Yes","Small","none","Many","Large","Small_decr_or_inc","Far","Medium","Large","Very_large","Large","Large","Large","Large","Medium","Small","Small","Small","Small","Medium","Small","Small","Medium","Small","Small","Large","Large","Medium","Large","Large","Medium","Large","Low","Low","Small","Medium"
"1020","Tetramolopium capillare",1021,"Dicot","Asteraceae","Tetramolopium","Endangered","Endemic","Non_coastal",0,1,0,0,0,0,0,0,"na","Wet_forest","Wet_mesic_forest","Perennial_grassland",156.1068,0.444396472536722,"Medium","Medium","Small","Small","Small","Small","Medium","Large","Large","Medium","Large","Small","No","No","No","Yes","Medium","Large","Few","Medium","Medium_decrease","Far","Small","Small","Small","Small","Small","Small","Medium","Small","Small","Small","Small","Medium","Large","Small","Small","Small","Large","Large","Large","Small","Small","Small","Medium","Medium","Medium","High","High","Large","Small"
